campaign_id,experiment_block,planned_configuration_id,repetition,run_order,run_key,attempt,run_order_seed,campaign_plan_sha256,execution_shard_count,execution_shard_indices,execution_shard_index,execution_shard_policy,instance,instance_content_id,base_lineage_id,instance_family,configuration_label,factor_m,factor_f,factor_p,factor_g,factor_b,factor_o,factor_s,factor_i,factor_c,factor_amo,status,sat_result,best_value,proven_optimum,objective_mode,compact_encoding,compact_encoding_features,collision_amo,collision_amo_cutoff,collision_amo_commander_group_size,collision_amo_pairwise_group_count,collision_amo_commander_group_count,collision_amo_commander_variable_count,collision_amo_clause_count,collision_amo_max_group_size,zero_break_certificate_participant,zero_break_certificate_reason,zero_break_branch,objective_vector,proven_objective_vector,primary_objective_value,secondary_objective_value,tertiary_objective_value,lexicographic_scalar_cost,objective_tier_weights,runtime_seconds,runtime_censored,peak_memory_mb,formalism,model_family,formulation_name,model_family_display_name,model_configuration_display_name,implementation_provenance,optimization_procedure_display_name,n_vars,n_binary_variables,n_integer_variables,n_continuous_variables,n_linear_constraints,n_global_constraints,n_nonzeros,n_hard_clauses,n_soft_clauses,n_total_clauses,n_primary_variables,n_auxiliary_variables,n_total_literals,max_hard_clause_length,configuration_id,configuration_key,domain_mode,domain_filter_graph,precedence_encoding,precedence_graph,optimization_engine,solver_backend,solver_version,encoding_variant,idle_encoding,objective,objective_code,implied_constraints_code,n_hard_literals,n_soft_literals,max_soft_clause_length,n_unit_hard_clauses,n_binary_hard_clauses,n_ternary_hard_clauses,n_long_hard_clauses,soft_clause_weight,soft_weight_sum,max_soft_weight_bits,n_objective_lits,occupancy_alias_count,prefix_alias_count,suffix_alias_count,first_alias_count,shared_counter_state_count,direct_range_soft_clause_count,n_optimizer_calls,best_bound,optimality_gap,branch_and_bound_nodes,cp_branches,cp_fails,n_bound_encodings,optimizer_added_variables_peak,optimizer_added_clauses_peak,optimizer_added_literals_peak,optimizer_added_clauses_cumulative,objective_phase_seconds,objective_phase_calls,formula_scope,full_schedule_candidates,unary_eligible_schedule_candidates,reduced_schedule_candidates,active_schedule_candidates,precedence_direct_edges,precedence_closure_edges,precedence_relation_edges,precedence_max_distance,precedence_pairwise_clauses,precedence_sparse_link_clauses,precedence_unique_suffix_cuts,domain_filter_iterations,domain_filter_seconds,input_parsing_seconds,model_construction_seconds,backend_model_construction_seconds,model_build_seconds,solve_and_validate_seconds,runtime_scope,idle_range_pstar,total_internal_idle_slots,maximum_internal_idle_slots,squared_internal_idle_slots,all_participant_idle_range,total_break_groups,break_group_range,participant_break_groups,memory_metric,instance_sha256,instance_variant,instance_path,source_alias_count,source_alias_paths,repository_alias_count,repository_alias_paths,dataset_source_page,dataset_archive_url,dataset_archive_sha256,run_started_utc,timeout_seconds,memory_limit_mb,git_commit,git_dirty,python_version,pysat_version,hostname,platform,cpu_model,physical_cpu_cores,logical_cpu_cores,system_memory_mb,threads,random_seed,runner_command,solver_binary,solver_binary_sha256,solver_command,validation_errors,solver_message,error_type,error_message,solver,maxsat_backend_preference,sat_backend_preference,resolved_uwrmaxsat_bin,precedence_mode,precedence_configuration,objective_value,objective_participant_count,objective_participants,initial_schedule_candidates,unary_removed_schedule_candidates,preprocessing_removed_schedule_candidates,removed_schedule_candidates,participant_internal_idle_slots,busy_participants_per_slot,assignment,schedule_by_slot,enabled_constraints,campaign_available_memory_mb_after,campaign_available_memory_mb_before,campaign_boot_id,campaign_executor_returncode,campaign_executor_seconds,campaign_load_15m_before,campaign_load_1m_after,campaign_load_1m_before,campaign_load_5m_before,campaign_log,incumbent_best_value,incumbent_objective_vector,message_type
journal-machine-warmup-v1,excluded_machine_warmup,warmup_maxsat_ir,1,1,journal-machine-warmup-v1::excluded_machine_warmup::b2b-f6a0647171ea3a01::warmup_maxsat_ir::rep-1,1,20260813,bdb09a768d307a17a4efc497416347fe268839d542d9bd28d65db9ecee8cb424,1,0,0,content_rank_round_robin_v1,tic-12.original,b2b-f6a0647171ea3a01,b2b-lineage-tic-12,original,R-SS-DC-ST-IRP-UW-IC12P,Reduced,Filter-E*,SparseSuffix,DistanceClosure-E*,SpanThreshold,IdleRangePstar,UWrMaxSAT,IC12+,Reference,Pairwise,OPTIMAL,SAT,0,0,ir,reference,,pairwise,6,4,312,0,0,6112,8,37,participant_requests_at_most_one_meeting,not_applicable,0,0,0,,,0,1,0.091365,False,37.938,,,,Compact,Compact/Reduced,project_implementation,one-shot weighted MaxSAT,5133,,,,,,,20760,6,20766,1000,4133,47655,19,cfg2__m-reduced__p-sparse_suffix__g-distance_closure__b-span_threshold__o-idle_range_pstar__s-uwrmaxsat__i-imp12plus__backend-uwrmaxsat,cfg2__m-reduced__p-sparse_suffix__g-distance_closure__b-span_threshold__o-idle_range_pstar__s-uwrmaxsat__i-imp12plus__backend-uwrmaxsat,reduced,distance_closure,sparse_suffix,distance_closure,UWrMaxSAT,UWrMaxSAT,binary-sha256:84fbd879008c3b4f0c5122c8ae6ba51d97e86a4b40867db8cc063a5b2a50547d,imp12+,span_threshold,internal_idle_slot_range_pstar,IRP,IC12P,47649,6,1,216,16138,3874,532,1,6,1,6,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,,,"formalism-specific model size: SAT/MaxSAT reports base CNF and soft clauses, MIP reports variables/linear constraints/nonzeros, and CP reports integer variables plus linear/global constraints; SAT bound/totalizer overhead remains separate in optimizer_added_*",1000,1000,1000,1000,0,0,0,0,0,0,0,1,0.020346,0.001437,0.042202,,0.043639,0.047726,"wall-clock from immediately before reading/parsing the .dzn instance through model construction, optimization, solution decoding, and independent validation; excludes worker-process startup and result-file export",0,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",peak_process_tree_rss_mb,f6a0647171ea3a01e077474a4c53b26d76eed6b7fe828661dbb02126b4225b46,original,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,1,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,1,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,,2026-09-11T16:50:00+00:00,300.0,,da75bc1a51f6bfbfceda52dad011b4ec978c826c,False,3.12.3,1.8.dev30,salb,Linux-7.0.0-1011-gcp-x86_64-with-glibc2.39,x86_64,4,8,15983.285,1,0,/home/vudangducminh/Business-Meeting-Scheduling-Problem/.venv-ubuntu/bin/python /home/vudangducminh/Business-Meeting-Scheduling-Problem/src/Main.py --instance /home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn --solver maxsat --objective-mode ir --compact-encoding reference --collision-amo pairwise --domain-mode reduced --domain-filter-graph distance_closure --precedence-encoding sparse_suffix --precedence-graph distance_closure --encoding-variant imp12+ --maxsat-backend uwrmaxsat --sat-backend cadical --timeout 300.0 --threads 1 --random-seed 0 --csv /home/vudangducminh/outputs/journal/warmup/4146035f-5024-4a6c-9f99-dfa29a5ecd52/da75bc1a51f6/work/cell-33na29z5/aggregate.csv --long-csv /home/vudangducminh/outputs/journal/warmup/4146035f-5024-4a6c-9f99-dfa29a5ecd52/da75bc1a51f6/work/cell-33na29z5/detailed.csv --no-excel --uwrmaxsat-bin /home/vudangducminh/uwrmaxsat/build/release/bin/uwrmaxsat --uwrmaxsat-sha256 84fbd879008c3b4f0c5122c8ae6ba51d97e86a4b40867db8cc063a5b2a50547d,/home/vudangducminh/uwrmaxsat/build/release/bin/uwrmaxsat,84fbd879008c3b4f0c5122c8ae6ba51d97e86a4b40867db8cc063a5b2a50547d,/home/vudangducminh/uwrmaxsat/build/release/bin/uwrmaxsat -m /tmp/b2b_uwrmaxsat_2n0ljylw/tic-12.original.wcnf,,process exit code=30,,,maxsat,uwrmaxsat,,/home/vudangducminh/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,sparse_suffix+distance_closure,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",1000,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26,30,32,32,34,36,32,28","2,1,3,4,8,7,3,5,4,2,6,5,8,1,6,3,2,4,2,8,7,6,7,6,6,1,3,2,8,7,4,5,3,6,7,1,5,2,5,7,3,1,6,4,8,5,6,4,7,3,6,5,4,2,8,3,7,2,4,6,1,4,3,5,7,7,2,1,8,5,3,8,4,1,6,2,6,5,7,4,2,8,5,6,3,1,5,1,4,6,2,4,1,3,6,7,2,5,8,5,7,8,2,3,1,7,5,4,8,6,3,8,3,5,4,7,6,2,7,4,1,6,3,8,5",1:M2 M14 M26 M36 M42 M61 M68 M74 M86 M88 M93 M105 M121 | 2:M1 M10 M17 M19 M28 M38 M54 M58 M67 M76 M81 M91 M97 M103 M118 | 3:M3 M7 M16 M27 M33 M41 M50 M56 M63 M71 M85 M94 M104 M111 M113 M123 | 4:M4 M9 M18 M31 M44 M48 M53 M59 M62 M73 M80 M89 M92 M108 M115 M120 | 5:M8 M12 M32 M37 M39 M46 M52 M64 M70 M78 M83 M87 M98 M100 M107 M114 M125 | 6:M11 M15 M22 M24 M25 M34 M43 M47 M51 M60 M75 M77 M84 M90 M95 M110 M117 M122 | 7:M6 M21 M23 M30 M35 M40 M49 M57 M65 M66 M79 M96 M101 M106 M116 M119 | 8:M5 M13 M20 M29 M45 M55 M69 M72 M82 M99 M102 M109 M112 M124,"objective-only optimization: no hard upper bound on objective gap | compact objective encoding preset: reference | participant collision AMO: pairwise | F-selected distance-labelled E* domain propagation and cycle detection | precedence configuration: F=distance_closure, P=sparse_suffix, G=distance_closure | Reduced Domain variables after unary filtering + matching GAC + slot saturation | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot; AMO=pairwise, commander_cutoff=6, commander_group_size=4 | (46),(47) clustered table capacity with compact forward channeling | (28) SparseSuffix precedence over distance_closure distance-labelled relations | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",15246.016,15292.941,4146035f-5024-4a6c-9f99-dfa29a5ecd52,0,0.366303,1.017578125,1.212890625,1.212890625,1.11279296875,logs/000001_fc308b0b3806_attempt-1.log,,,result
journal-machine-warmup-v1,excluded_machine_warmup,warmup_multiple_ir,1,2,journal-machine-warmup-v1::excluded_machine_warmup::b2b-f6a0647171ea3a01::warmup_multiple_ir::rep-1,1,20260813,bdb09a768d307a17a4efc497416347fe268839d542d9bd28d65db9ecee8cb424,1,0,0,content_rank_round_robin_v1,tic-12.original,b2b-f6a0647171ea3a01,b2b-lineage-tic-12,original,R-SS-DC-ST-IRP-NIS-CD-IC12P,Reduced,Filter-E*,SparseSuffix,DistanceClosure-E*,SpanThreshold,IdleRangePstar,NonIncrementalSAT,IC12+,Reference,Pairwise,OPTIMAL,SAT,0,0,ir,reference,,pairwise,6,4,312,0,0,6112,8,37,participant_requests_at_most_one_meeting,not_applicable,0,0,0,,,,,0.069806,False,39.359,,,,Compact,Compact/Reduced,project_implementation,restart-based multi-phase SAT,5133,,,,,,,20760,0,20760,1000,4133,47649,19,cfg2__m-reduced__p-sparse_suffix__g-distance_closure__b-span_threshold__o-idle_range_pstar__s-nonincrementalsat__i-imp12plus__backend-cadical,cfg2__m-reduced__p-sparse_suffix__g-distance_closure__b-span_threshold__o-idle_range_pstar__s-nonincrementalsat__i-imp12plus__backend-cadical,reduced,distance_closure,sparse_suffix,distance_closure,NonIncrementalSAT,CaDiCaL,1.5.3,imp12+,span_threshold,internal_idle_slot_range_pstar,IRP,IC12P,47649,0,0,216,16138,3874,532,,0,0,6,0,0,0,0,0,0,3,,,,,,3,8,18,40,30,0.019496808999974746,2,"formalism-specific model size: SAT/MaxSAT reports base CNF and soft clauses, MIP reports variables/linear constraints/nonzeros, and CP reports integer variables plus linear/global constraints; SAT bound/totalizer overhead remains separate in optimizer_added_*",1000,1000,1000,1000,0,0,0,0,0,0,0,1,0.022328,0.001423,0.039214,,0.040637,0.029168,"wall-clock from immediately before reading/parsing the .dzn instance through model construction, optimization, solution decoding, and independent validation; excludes worker-process startup and result-file export",0,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",peak_process_tree_rss_mb,f6a0647171ea3a01e077474a4c53b26d76eed6b7fe828661dbb02126b4225b46,original,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,1,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,1,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,,2026-09-11T16:50:00+00:00,300.0,,da75bc1a51f6bfbfceda52dad011b4ec978c826c,False,3.12.3,1.8.dev30,salb,Linux-7.0.0-1011-gcp-x86_64-with-glibc2.39,x86_64,4,8,15983.285,1,0,/home/vudangducminh/Business-Meeting-Scheduling-Problem/.venv-ubuntu/bin/python /home/vudangducminh/Business-Meeting-Scheduling-Problem/src/Main.py --instance /home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn --solver multiple --objective-mode ir --compact-encoding reference --collision-amo pairwise --domain-mode reduced --domain-filter-graph distance_closure --precedence-encoding sparse_suffix --precedence-graph distance_closure --encoding-variant imp12+ --maxsat-backend uwrmaxsat --sat-backend cadical --timeout 300.0 --threads 1 --random-seed 0 --csv /home/vudangducminh/outputs/journal/warmup/4146035f-5024-4a6c-9f99-dfa29a5ecd52/da75bc1a51f6/work/cell-syypk5g0/aggregate.csv --long-csv /home/vudangducminh/outputs/journal/warmup/4146035f-5024-4a6c-9f99-dfa29a5ecd52/da75bc1a51f6/work/cell-syypk5g0/detailed.csv --no-excel,,,,,,,,multiple,,cadical,,staircase,sparse_suffix+distance_closure,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",1000,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,30,32,32,32,34,32,28","8,2,4,3,1,3,6,8,7,5,8,7,2,4,6,3,8,1,7,6,4,2,7,6,8,5,7,6,4,2,3,1,3,1,4,7,5,2,6,5,3,4,2,8,1,7,5,8,4,3,1,7,6,5,3,2,4,5,6,4,7,8,2,3,1,6,7,5,3,8,6,5,7,2,1,3,3,4,2,3,7,8,5,6,1,4,1,5,6,4,2,5,4,3,6,1,7,8,2,4,1,6,5,7,8,4,1,2,6,3,5,2,5,1,6,7,8,3,1,4,2,6,8,5,7",1:M5 M18 M32 M34 M45 M51 M65 M75 M85 M87 M96 M101 M107 M114 M119 | 2:M2 M13 M22 M30 M38 M43 M56 M63 M74 M79 M91 M99 M108 M112 M121 | 3:M4 M6 M16 M31 M33 M41 M50 M55 M64 M69 M76 M77 M80 M94 M110 M118 | 4:M3 M14 M21 M29 M35 M42 M49 M57 M60 M78 M86 M90 M93 M100 M106 M120 | 5:M10 M26 M37 M40 M47 M54 M58 M68 M72 M83 M88 M92 M103 M111 M113 M124 | 6:M7 M15 M20 M24 M28 M39 M53 M59 M66 M71 M84 M89 M95 M102 M109 M115 M122 | 7:M9 M12 M19 M23 M27 M36 M46 M52 M61 M67 M73 M81 M97 M104 M116 M125 | 8:M1 M8 M11 M17 M25 M44 M48 M62 M70 M82 M98 M105 M117 M123,"objective-only optimization: no hard upper bound on objective gap | compact objective encoding preset: reference | participant collision AMO: pairwise | F-selected distance-labelled E* domain propagation and cycle detection | precedence configuration: F=distance_closure, P=sparse_suffix, G=distance_closure | Reduced Domain variables after unary filtering + matching GAC + slot saturation | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot; AMO=pairwise, commander_cutoff=6, commander_group_size=4 | (46),(47) clustered table capacity with compact forward channeling | (28) SparseSuffix precedence over distance_closure distance-labelled relations | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",15246.035,15246.02,4146035f-5024-4a6c-9f99-dfa29a5ecd52,0,0.315992,1.017578125,1.212890625,1.212890625,1.11279296875,logs/000002_c1b084925f31_attempt-1.log,0,"(0,)",result
journal-machine-warmup-v1,excluded_machine_warmup,warmup_incremental_ir,1,3,journal-machine-warmup-v1::excluded_machine_warmup::b2b-f6a0647171ea3a01::warmup_incremental_ir::rep-1,1,20260813,bdb09a768d307a17a4efc497416347fe268839d542d9bd28d65db9ecee8cb424,1,0,0,content_rank_round_robin_v1,tic-12.original,b2b-f6a0647171ea3a01,b2b-lineage-tic-12,original,R-SS-DC-ST-IRP-IS-CD-IC12P,Reduced,Filter-E*,SparseSuffix,DistanceClosure-E*,SpanThreshold,IdleRangePstar,IncrementalSAT,IC12+,Reference,Pairwise,OPTIMAL,SAT,0,0,ir,reference,,pairwise,6,4,312,0,0,6112,8,37,participant_requests_at_most_one_meeting,not_applicable,0,0,0,,,,,0.052685,False,39.441,,,,Compact,Compact/Reduced,project_implementation,incremental multi-phase SAT with persistent solver state,5133,,,,,,,20760,0,20760,1000,4133,47649,19,cfg2__m-reduced__p-sparse_suffix__g-distance_closure__b-span_threshold__o-idle_range_pstar__s-incrementalsat__i-imp12plus__backend-cadical,cfg2__m-reduced__p-sparse_suffix__g-distance_closure__b-span_threshold__o-idle_range_pstar__s-incrementalsat__i-imp12plus__backend-cadical,reduced,distance_closure,sparse_suffix,distance_closure,IncrementalSAT,CaDiCaL,1.5.3,imp12+,span_threshold,internal_idle_slot_range_pstar,IRP,IC12P,47649,0,0,216,16138,3874,532,,0,0,6,0,0,0,0,0,0,3,,,,,,1,16,31,77,31,0.0029054070000711363,2,"formalism-specific model size: SAT/MaxSAT reports base CNF and soft clauses, MIP reports variables/linear constraints/nonzeros, and CP reports integer variables plus linear/global constraints; SAT bound/totalizer overhead remains separate in optimizer_added_*",1000,1000,1000,1000,0,0,0,0,0,0,0,1,0.021841,0.001432,0.038665,,0.040097,0.012588,"wall-clock from immediately before reading/parsing the .dzn instance through model construction, optimization, solution decoding, and independent validation; excludes worker-process startup and result-file export",0,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",peak_process_tree_rss_mb,f6a0647171ea3a01e077474a4c53b26d76eed6b7fe828661dbb02126b4225b46,original,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,1,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,1,/home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,,2026-09-11T16:50:01+00:00,300.0,,da75bc1a51f6bfbfceda52dad011b4ec978c826c,False,3.12.3,1.8.dev30,salb,Linux-7.0.0-1011-gcp-x86_64-with-glibc2.39,x86_64,4,8,15983.285,1,0,/home/vudangducminh/Business-Meeting-Scheduling-Problem/.venv-ubuntu/bin/python /home/vudangducminh/Business-Meeting-Scheduling-Problem/src/Main.py --instance /home/vudangducminh/Business-Meeting-Scheduling-Problem/data_table03_origin/tic-12.original.dzn --solver incremental --objective-mode ir --compact-encoding reference --collision-amo pairwise --domain-mode reduced --domain-filter-graph distance_closure --precedence-encoding sparse_suffix --precedence-graph distance_closure --encoding-variant imp12+ --maxsat-backend uwrmaxsat --sat-backend cadical --timeout 300.0 --threads 1 --random-seed 0 --csv /home/vudangducminh/outputs/journal/warmup/4146035f-5024-4a6c-9f99-dfa29a5ecd52/da75bc1a51f6/work/cell-hixb9t24/aggregate.csv --long-csv /home/vudangducminh/outputs/journal/warmup/4146035f-5024-4a6c-9f99-dfa29a5ecd52/da75bc1a51f6/work/cell-hixb9t24/detailed.csv --no-excel,,,,,,,,incremental,,cadical,,staircase,sparse_suffix+distance_closure,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",1000,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26,30,32,32,32,34,34,30","6,3,4,5,8,8,1,6,7,8,2,1,6,7,4,2,5,8,7,2,3,1,7,8,6,3,5,8,1,7,2,4,3,4,1,2,7,6,8,3,5,6,1,4,2,4,7,2,3,5,5,2,8,6,7,4,3,8,1,5,4,6,3,7,2,2,7,5,3,1,4,2,5,6,7,1,6,5,8,5,1,4,3,6,7,2,7,8,3,6,4,5,4,1,3,2,7,8,6,3,4,6,8,5,7,5,4,2,1,6,3,6,7,8,5,3,4,3,4,7,2,5,8,1,6",1:M7 M12 M22 M29 M35 M43 M59 M70 M76 M81 M94 M109 M124 | 2:M11 M16 M20 M31 M36 M45 M48 M52 M65 M66 M72 M86 M96 M108 M121 | 3:M2 M21 M26 M33 M40 M49 M57 M63 M69 M83 M89 M95 M100 M111 M116 M118 | 4:M3 M15 M32 M34 M44 M46 M56 M61 M71 M82 M91 M93 M101 M107 M117 M119 | 5:M4 M17 M27 M41 M50 M51 M60 M68 M73 M78 M80 M92 M104 M106 M115 M122 | 6:M1 M8 M13 M25 M38 M42 M54 M62 M74 M77 M84 M90 M99 M102 M110 M112 M125 | 7:M9 M14 M19 M23 M30 M37 M47 M55 M64 M67 M75 M85 M87 M97 M105 M113 M120 | 8:M5 M6 M10 M18 M24 M28 M39 M53 M58 M79 M88 M98 M103 M114 M123,"objective-only optimization: no hard upper bound on objective gap | compact objective encoding preset: reference | participant collision AMO: pairwise | F-selected distance-labelled E* domain propagation and cycle detection | precedence configuration: F=distance_closure, P=sparse_suffix, G=distance_closure | Reduced Domain variables after unary filtering + matching GAC + slot saturation | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot; AMO=pairwise, commander_cutoff=6, commander_group_size=4 | (46),(47) clustered table capacity with compact forward channeling | (28) SparseSuffix precedence over distance_closure distance-labelled relations | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",15246.051,15246.035,4146035f-5024-4a6c-9f99-dfa29a5ecd52,0,0.316881,1.017578125,1.212890625,1.212890625,1.11279296875,logs/000003_2cf8cc3f708a_attempt-1.log,0,"(0,)",result
