instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
tic-14crafa.prec25,no,maxsat,direct,lex-idlesum,-,-,-,-,1.0 0
tic-14crafa.prec25,yes,maxsat,direct,lex-idlesum,-,-,-,-,2.4 0
