instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafb.fixed020-Forb,no,maxsat,direct,lex-idlesum,-,-,-,-,TO -
ticf-13crafb.fixed020-Forb,yes,maxsat,direct,lex-idlesum,-,-,-,-,TO -
