instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,precedence_edge_mode,staircase,encoding_variant,objective,objective_mode,secondary_objective_value,secondary_proven_optimum,tertiary_objective_value,tertiary_proven_optimum,objective_participant_count,objective_participants,total_breaks,fairness_gap,idle_range,all_participant_idle_range,precedence_direct_edges,precedence_source_added_edges,precedence_encoded_edges,precedence_full_closure_edges,n_primary_objective_lits,n_secondary_objective_lits,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,objective_value,total_clauses
ticf-14crafa.fixed040-Forb,SAT,OPTIMAL,31.312989,144338,327880,1422,0,329302,,peak_process_tree_rss_mb,maxsat,traditional,direct,no,imp12+,lexicographic_internal_idle_range_pstar_then_idle_sum,lex-idlesum,,,255,255,72,"1,2,3,4,5,6,8,9,11,12,14,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78",255,16,16,16,0,0,0,0,20,20,"9,3,3,0,5,8,0,4,1,0,16,0,0,2,0,0,8,0,10,1,0,4,8,0,1,5,15,6,4,1,0,0,3,12,9,2,0,1,6,0,0,0,11,8,6,6,0,1,0,7,0,2,0,6,7,5,0,0,3,0,6,2,2,2,5,5,0,0,0,8,0,0,0,7,0,7,2,0","14,14,22,30,28,32,38,42,38,40,40,42,40,26,30,28,30,22,22,10,8,8","22,8,17,13,12,11,9,15,17,14,13,8,9,3,11,12,1,6,7,10,4,13,17,17,9,19,18,15,17,5,21,15,4,16,7,8,9,13,5,14,6,18,19,16,10,11,9,8,12,2,6,10,11,7,6,9,12,12,19,17,16,7,12,12,8,10,20,7,22,13,16,12,4,14,18,19,9,10,15,17,1,18,14,7,11,12,4,13,17,14,15,16,18,20,9,8,14,17,11,10,16,1,7,2,13,5,8,3,18,6,4,1,12,15,21,4,11,2,12,6,5,10,3,10,7,6,8,11,12,3,9,15,5,11,13,10,3,16,9,8,7,16,13,19,4,15,6,17,16,5,16,13,4,8,11,22,5,3,4,11,13,4,10,8,5,13,9,12,2,18,15,7,14,11,17,20,15,13,6,7,5,8,19,11,9,9,13,18,14,19,10,16,17,15,14,16,8,12,15,13,10,3,4,7,6,14,20,19,21,16,12,11,14,17,18,15,13,3,4,15,1,22,18,5,9,21,8,6,14,19,10,7,11,13,12,16,20,17,2,7,3,12,13,6,4,10,7,9,8,12,5,11,9,11,8,7,10,6,5,10,3,9,12,11,8,2,1,4,7,6,14,13,19,8,10,7,5,11,8,9,12,10,6,18,10,8,13,17,19,15,11,12,8,9,6,2,10,3,5,4,1,7",1:M17 M81 M102 M112 M221 M267 M301 | 2:M50 M104 M118 M169 M239 M266 M296 | 3:M14 M108 M123 M130 M137 M158 M202 M218 M241 M261 M298 | 4:M21 M33 M73 M87 M111 M116 M145 M153 M159 M162 M203 M219 M245 M268 M300 | 5:M30 M39 M106 M121 M133 M150 M157 M165 M181 M224 M251 M259 M277 M299 | 6:M18 M41 M51 M55 M110 M120 M126 M147 M179 M205 M228 M244 M258 M270 M283 M295 | 7:M19 M35 M54 M62 M68 M84 M103 M125 M141 M172 M180 M204 M232 M240 M247 M256 M269 M276 M302 | 8:M2 M12 M36 M48 M65 M96 M107 M127 M140 M154 M164 M182 M197 M227 M249 M255 M265 M274 M279 M286 M293 | 9:M7 M13 M25 M37 M47 M56 M77 M95 M131 M139 M167 M185 M186 M225 M248 M253 M262 M280 M294 | 10:M20 M45 M52 M66 M78 M100 M122 M124 M136 M163 M191 M201 M231 M246 M257 M260 M275 M282 M285 M297 | 11:M6 M15 M46 M53 M85 M99 M117 M128 M134 M155 M160 M174 M184 M212 M233 M252 M254 M264 M278 M291 | 12:M5 M16 M49 M57 M58 M63 M64 M72 M86 M113 M119 M129 M168 M198 M211 M235 M242 M250 M263 M281 M292 | 13:M4 M11 M22 M38 M70 M88 M105 M135 M143 M152 M161 M166 M178 M187 M200 M217 M234 M243 M272 M287 | 14:M10 M40 M74 M83 M90 M97 M173 M189 M195 M206 M213 M229 M271 | 15:M8 M28 M32 M79 M91 M114 M132 M146 M171 M177 M194 M199 M216 M220 M290 | 16:M34 M44 M61 M71 M92 M101 M138 M142 M149 M151 M192 M196 M210 M236 | 17:M3 M9 M23 M24 M29 M60 M80 M89 M98 M148 M175 M193 M214 M238 M288 | 18:M27 M42 M75 M82 M93 M109 M170 M188 M215 M223 M284 | 19:M26 M43 M59 M76 M144 M183 M190 M208 M230 M273 M289 | 20:M67 M94 M176 M207 M237 | 21:M31 M115 M209 M226 | 22:M1 M69 M156 M222,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,327880,1422,16,329302
ticf-14crafa.fixed040-Forb,SAT,OPTIMAL,31.890606,144338,327880,1422,0,329302,,peak_process_tree_rss_mb,maxsat,staircase,direct,yes,imp12+,lexicographic_internal_idle_range_pstar_then_idle_sum,lex-idlesum,,,255,255,72,"1,2,3,4,5,6,8,9,11,12,14,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78",255,16,16,16,0,0,0,0,20,20,"9,3,3,0,5,8,0,4,1,0,16,0,0,2,0,0,8,0,10,1,0,4,8,0,1,5,15,6,4,1,0,0,3,12,9,2,0,1,6,0,0,0,11,8,6,6,0,1,0,7,0,2,0,6,7,5,0,0,3,0,6,2,2,2,5,5,0,0,0,8,0,0,0,7,0,7,2,0","14,14,22,30,28,32,38,42,38,40,40,42,40,26,30,28,30,22,22,10,8,8","22,8,17,13,12,11,9,15,17,14,13,8,9,3,11,12,1,6,7,10,4,13,17,17,9,19,18,15,17,5,21,15,4,16,7,8,9,13,5,14,6,18,19,16,10,11,9,8,12,2,6,10,11,7,6,9,12,12,19,17,16,7,12,12,8,10,20,7,22,13,16,12,4,14,18,19,9,10,15,17,1,18,14,7,11,12,4,13,17,14,15,16,18,20,9,8,14,17,11,10,16,1,7,2,13,5,8,3,18,6,4,1,12,15,21,4,11,2,12,6,5,10,3,10,7,6,8,11,12,3,9,15,5,11,13,10,3,16,9,8,7,16,13,19,4,15,6,17,16,5,16,13,4,8,11,22,5,3,4,11,13,4,10,8,5,13,9,12,2,18,15,7,14,11,17,20,15,13,6,7,5,8,19,11,9,9,13,18,14,19,10,16,17,15,14,16,8,12,15,13,10,3,4,7,6,14,20,19,21,16,12,11,14,17,18,15,13,3,4,15,1,22,18,5,9,21,8,6,14,19,10,7,11,13,12,16,20,17,2,7,3,12,13,6,4,10,7,9,8,12,5,11,9,11,8,7,10,6,5,10,3,9,12,11,8,2,1,4,7,6,14,13,19,8,10,7,5,11,8,9,12,10,6,18,10,8,13,17,19,15,11,12,8,9,6,2,10,3,5,4,1,7",1:M17 M81 M102 M112 M221 M267 M301 | 2:M50 M104 M118 M169 M239 M266 M296 | 3:M14 M108 M123 M130 M137 M158 M202 M218 M241 M261 M298 | 4:M21 M33 M73 M87 M111 M116 M145 M153 M159 M162 M203 M219 M245 M268 M300 | 5:M30 M39 M106 M121 M133 M150 M157 M165 M181 M224 M251 M259 M277 M299 | 6:M18 M41 M51 M55 M110 M120 M126 M147 M179 M205 M228 M244 M258 M270 M283 M295 | 7:M19 M35 M54 M62 M68 M84 M103 M125 M141 M172 M180 M204 M232 M240 M247 M256 M269 M276 M302 | 8:M2 M12 M36 M48 M65 M96 M107 M127 M140 M154 M164 M182 M197 M227 M249 M255 M265 M274 M279 M286 M293 | 9:M7 M13 M25 M37 M47 M56 M77 M95 M131 M139 M167 M185 M186 M225 M248 M253 M262 M280 M294 | 10:M20 M45 M52 M66 M78 M100 M122 M124 M136 M163 M191 M201 M231 M246 M257 M260 M275 M282 M285 M297 | 11:M6 M15 M46 M53 M85 M99 M117 M128 M134 M155 M160 M174 M184 M212 M233 M252 M254 M264 M278 M291 | 12:M5 M16 M49 M57 M58 M63 M64 M72 M86 M113 M119 M129 M168 M198 M211 M235 M242 M250 M263 M281 M292 | 13:M4 M11 M22 M38 M70 M88 M105 M135 M143 M152 M161 M166 M178 M187 M200 M217 M234 M243 M272 M287 | 14:M10 M40 M74 M83 M90 M97 M173 M189 M195 M206 M213 M229 M271 | 15:M8 M28 M32 M79 M91 M114 M132 M146 M171 M177 M194 M199 M216 M220 M290 | 16:M34 M44 M61 M71 M92 M101 M138 M142 M149 M151 M192 M196 M210 M236 | 17:M3 M9 M23 M24 M29 M60 M80 M89 M98 M148 M175 M193 M214 M238 M288 | 18:M27 M42 M75 M82 M93 M109 M170 M188 M215 M223 M284 | 19:M26 M43 M59 M76 M144 M183 M190 M208 M230 M273 M289 | 20:M67 M94 M176 M207 M237 | 21:M31 M115 M209 M226 | 22:M1 M69 M156 M222,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,327880,1422,16,329302
