instance,precedence_encoding,precedence_graph,precedence_configuration,domain_filter_graph,solver,objective,objective_mode,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
tic-14crafd.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,15.8 5,-
tic-14crafd.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,11.1 5,-
tic-14crafd.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,17.4 5,-
ticf-13crafa.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,1039.0 8,-
ticf-13crafa.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,2114.5 8,-
ticf-13crafa.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,498.9 8,-
ticf-13crafa.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,2678.3 10,-
ticf-13crafa.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-13crafa.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,3668.7 10,-
ticf-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,1017.8 17,-
ticf-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,2334.6 17,-
ticf-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,3217.2 17,-
ticf-13crafb.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,286.5 19,-
ticf-13crafb.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,1110.1 19,-
ticf-13crafb.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,833.9 19,-
ticf-13crafc.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-13crafc.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-13crafc.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-13crafc.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-13crafc.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-13crafc.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-14crafa.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-14crafa.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-14crafa.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-14crafa.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-14crafa.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
ticf-14crafa.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,break_groups_d2,bg_d2,full,-,-,-,-,TO,-
