instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
tic-14crafa.forb0003,no,incremental,direct,lexicographic,-,-,-,-,0.5 0
tic-14crafa.forb0003,yes,incremental,direct,lexicographic,-,-,-,-,0.5 0
