instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,precedence_edge_mode,staircase,encoding_variant,objective,objective_mode,secondary_objective_value,secondary_proven_optimum,tertiary_objective_value,tertiary_proven_optimum,objective_participant_count,objective_participants,total_breaks,fairness_gap,idle_range,all_participant_idle_range,precedence_direct_edges,precedence_source_added_edges,precedence_encoded_edges,precedence_full_closure_edges,n_primary_objective_lits,n_secondary_objective_lits,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,objective_value,total_clauses
tic-12crafc.original,SAT,OPTIMAL,0.082913,14593,36384,252,0,36636,,peak_process_tree_rss_mb,maxsat,traditional,direct,no,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max_then_idle_sum,lexicographic,0,0,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,32,32,32,32,32,32,30","6,8,4,5,1,5,1,5,3,8,7,3,5,1,8,2,7,4,2,6,3,7,7,8,7,3,6,4,1,2,5,8,5,8,4,6,3,2,7,6,5,2,1,8,4,2,7,4,5,6,2,3,4,6,7,8,5,2,8,8,6,1,5,7,2,2,6,7,1,3,3,7,4,1,6,2,3,4,4,3,6,7,5,2,1,8,2,4,1,5,3,4,6,1,5,2,3,8,7,8,1,3,2,6,4,7,8,4,5,3,6,4,3,1,7,6,5,8,6,4,2,5,1,3,7",1:M5 M7 M14 M29 M43 M62 M69 M74 M85 M89 M94 M101 M114 M123 | 2:M16 M19 M30 M38 M42 M46 M51 M58 M65 M66 M76 M84 M87 M96 M103 M121 | 3:M9 M12 M21 M26 M37 M52 M70 M71 M77 M80 M91 M97 M102 M110 M113 M124 | 4:M3 M18 M28 M35 M45 M48 M53 M73 M78 M79 M88 M92 M105 M108 M112 M120 | 5:M4 M6 M8 M13 M31 M33 M41 M49 M57 M63 M83 M90 M95 M109 M117 M122 | 6:M1 M20 M27 M36 M40 M50 M54 M61 M67 M75 M81 M93 M104 M111 M116 M119 | 7:M11 M17 M22 M23 M25 M39 M47 M55 M64 M68 M72 M82 M99 M106 M115 M125 | 8:M2 M10 M15 M24 M32 M34 M44 M56 M59 M60 M86 M98 M100 M107 M118,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,36384,252,0,36636
tic-12crafc.original,SAT,OPTIMAL,0.083682,14593,36384,252,0,36636,,peak_process_tree_rss_mb,maxsat,staircase,direct,yes,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max_then_idle_sum,lexicographic,0,0,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,32,32,32,32,32,32,30","6,8,4,5,1,5,1,5,3,8,7,3,5,1,8,2,7,4,2,6,3,7,7,8,7,3,6,4,1,2,5,8,5,8,4,6,3,2,7,6,5,2,1,8,4,2,7,4,5,6,2,3,4,6,7,8,5,2,8,8,6,1,5,7,2,2,6,7,1,3,3,7,4,1,6,2,3,4,4,3,6,7,5,2,1,8,2,4,1,5,3,4,6,1,5,2,3,8,7,8,1,3,2,6,4,7,8,4,5,3,6,4,3,1,7,6,5,8,6,4,2,5,1,3,7",1:M5 M7 M14 M29 M43 M62 M69 M74 M85 M89 M94 M101 M114 M123 | 2:M16 M19 M30 M38 M42 M46 M51 M58 M65 M66 M76 M84 M87 M96 M103 M121 | 3:M9 M12 M21 M26 M37 M52 M70 M71 M77 M80 M91 M97 M102 M110 M113 M124 | 4:M3 M18 M28 M35 M45 M48 M53 M73 M78 M79 M88 M92 M105 M108 M112 M120 | 5:M4 M6 M8 M13 M31 M33 M41 M49 M57 M63 M83 M90 M95 M109 M117 M122 | 6:M1 M20 M27 M36 M40 M50 M54 M61 M67 M75 M81 M93 M104 M111 M116 M119 | 7:M11 M17 M22 M23 M25 M39 M47 M55 M64 M68 M72 M82 M99 M106 M115 M125 | 8:M2 M10 M15 M24 M32 M34 M44 M56 M59 M60 M86 M98 M100 M107 M118,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,36384,252,0,36636
