instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafa.fixed020-Forb,no,incremental,direct,lexicographic,-,-,-,-,10.4 10
ticf-13crafa.fixed020-Forb,yes,incremental,direct,lexicographic,-,-,-,-,10.3 10
