instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-14crafa.original,no,maxsat,direct,lexicographic,-,-,-,-,19.3 0
ticf-14crafa.original,yes,maxsat,direct,lexicographic,-,-,-,-,19.2 0
