instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-14crafa.fixed040-Forb,no,incremental,direct,lex-idlesum,-,-,-,-,30.5 16
ticf-14crafa.fixed040-Forb,yes,incremental,direct,lex-idlesum,-,-,-,-,31.0 16
