instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
forum-13crafb.fixed020-Forb,no,incremental,direct,lex-idlesum,-,-,-,-,146.3 17
forum-13crafb.fixed020-Forb,yes,incremental,direct,lex-idlesum,-,-,-,-,147.0 17
