instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafc.prec15,no,incremental,direct,lex-idlesum,-,-,-,-,10.5 0
ticf-13crafc.prec15,yes,incremental,direct,lex-idlesum,-,-,-,-,16.0 0
