instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafc.forb0003,no,multiple,direct,lex-idlesum,-,-,-,-,13.0 0
ticf-13crafc.forb0003,yes,multiple,direct,lex-idlesum,-,-,-,-,12.7 0
