instance,precedence_encoding,precedence_graph,precedence_configuration,domain_filter_graph,solver,objective,objective_mode,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.forb0007,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,11.3 0,-
forum-13.forb0007,pairwise,direct,pairwise+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.6 0,-
forum-13.forb0007,pairwise,direct,pairwise+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.3 0,-
forum-13.forb0007,pairwise,direct,pairwise+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,6.5 0,-
forum-13.forb0007,pairwise,distance_closure,pairwise+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.6 0,-
forum-13.forb0007,pairwise,distance_closure,pairwise+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.3 0,-
forum-13.forb0007,pairwise,distance_closure,pairwise+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,6.5 0,-
forum-13.forb0007,sparse_suffix,direct,sparse_suffix+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.6 0,-
forum-13.forb0007,sparse_suffix,direct,sparse_suffix+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.2 0,-
forum-13.forb0007,sparse_suffix,direct,sparse_suffix+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,6.5 0,-
forum-13.forb0007,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.5 0,-
forum-13.forb0007,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.3 0,-
forum-13.forb0007,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,6.6 0,-
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,35.8 5,-
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,31.5 5,-
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,38.8 5,-
forum-13crafb.forb0003,pairwise,distance_closure,pairwise+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,35.8 5,-
forum-13crafb.forb0003,pairwise,distance_closure,pairwise+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,31.6 5,-
forum-13crafb.forb0003,pairwise,distance_closure,pairwise+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,38.3 5,-
forum-13crafb.forb0003,sparse_suffix,direct,sparse_suffix+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,35.6 5,-
forum-13crafb.forb0003,sparse_suffix,direct,sparse_suffix+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,32.0 5,-
forum-13crafb.forb0003,sparse_suffix,direct,sparse_suffix+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,39.1 5,-
forum-13crafb.forb0003,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,35.4 5,-
forum-13crafb.forb0003,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,32.0 5,-
forum-13crafb.forb0003,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,38.9 5,-
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,22.8 5,-
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,28.0 5,-
