instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafa.prec25,no,multiple,direct,lexicographic,-,-,-,-,UNSAT
ticf-13crafa.prec25,yes,multiple,direct,lexicographic,-,-,-,-,UNSAT
