instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
tic-14crafd.fixed020-Forb,no,incremental,direct,lexicographic,0.6 3,0.3 3,0.6 3,0.4 3,0.2 3
tic-14crafd.fixed020-Forb,yes,incremental,direct,lexicographic,0.6 3,0.4 3,0.6 3,0.4 3,0.2 3
