instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-14crafa.prec15,no,incremental,direct,lexicographic,-,-,-,-,38.6 0
ticf-14crafa.prec15,yes,incremental,direct,lexicographic,-,-,-,-,32.6 0
