instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafa.original,no,incremental,direct,lexicographic,19.6 0,3.4 0,18.0 0,4.9 0,3.4 0
ticf-13crafa.original,yes,incremental,direct,lexicographic,19.5 0,3.3 0,17.7 0,4.8 0,3.5 0
