instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
forumt-14crafe.prec15,no,multiple,direct,lexicographic,-,-,-,-,0.5 2
forumt-14crafe.prec15,yes,multiple,direct,lexicographic,-,-,-,-,0.6 2
