instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
forumt-14crafe.prec25,no,incremental,direct,lexicographic,2.2 2,2.3 2,2.5 2,3.4 2,0.7 2
forumt-14crafe.prec25,yes,incremental,direct,lexicographic,5.7 2,1.1 2,6.3 2,2.4 2,0.4 2
