instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,precedence_edge_mode,staircase,encoding_variant,objective,objective_mode,secondary_objective_value,secondary_proven_optimum,objective_participant_count,objective_participants,total_breaks,fairness_gap,idle_range,all_participant_idle_range,precedence_direct_edges,precedence_source_added_edges,precedence_encoded_edges,precedence_full_closure_edges,n_primary_objective_lits,n_secondary_objective_lits,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,total_clauses
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.071977,13838,36340,0,0,36340,,peak_process_tree_rss_mb,incremental,traditional,direct,no,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",30,4,4,4,0,0,0,0,6,6,"0,2,0,0,0,0,3,2,0,0,0,1,2,0,0,2,0,0,1,3,1,0,3,1,0,0,0,0,4,0,0,3,0,1,0,0,0,0,1,0,0,0","32,32,30,32,32,30,32,30","1,4,7,3,5,8,1,6,3,3,8,2,7,1,4,8,3,6,5,2,7,8,4,1,5,2,8,3,4,7,6,1,8,4,6,2,7,5,6,5,1,2,4,8,3,5,6,8,7,4,8,5,2,7,6,4,3,5,4,1,5,4,6,2,7,8,1,2,3,7,2,7,1,6,4,5,6,1,2,6,8,5,1,3,4,7,2,3,7,5,8,6,4,3,5,1,7,8,2,7,4,2,3,1,5,5,6,1,3,7,2,4,1,2,3,6,8,5,4,3,7,1,2,8,6",1:M1 M7 M14 M24 M32 M41 M60 M67 M73 M78 M83 M96 M104 M108 M113 M122 | 2:M12 M20 M26 M36 M42 M53 M64 M68 M71 M79 M87 M99 M102 M111 M114 M123 | 3:M4 M9 M10 M17 M28 M45 M57 M69 M84 M88 M94 M103 M109 M115 M120 | 4:M2 M15 M23 M29 M34 M43 M50 M56 M59 M62 M75 M85 M93 M101 M112 M119 | 5:M5 M19 M25 M38 M40 M46 M52 M58 M61 M76 M82 M90 M95 M105 M106 M118 | 6:M8 M18 M31 M35 M39 M47 M55 M63 M74 M77 M80 M92 M107 M116 M125 | 7:M3 M13 M21 M30 M37 M49 M54 M65 M70 M72 M86 M89 M97 M100 M110 M121 | 8:M6 M11 M16 M22 M27 M33 M44 M48 M51 M66 M81 M91 M98 M117 M124,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | exact unary internal-idle counts and range objective over P*",,,result,36340,,36340
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.071944,15056,38373,0,0,38373,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",35,4,4,4,0,0,0,0,6,6,"0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,4,0,0,1,4,2,0,3,0,0,0,0,0,4,0,3,3,0,2,0,0,0,0,2,0,0,0","32,30,32,30,32,30,32,32","6,4,5,8,1,8,6,5,3,4,2,2,6,5,7,1,3,8,2,8,6,3,5,7,5,1,2,3,4,7,6,8,2,3,6,7,1,4,5,4,1,6,8,2,3,3,7,8,1,6,2,5,1,7,3,4,6,8,4,7,5,4,6,2,1,3,2,1,6,7,4,7,8,5,3,2,6,3,4,7,2,5,1,3,8,6,8,7,1,5,3,6,8,4,5,3,7,1,2,1,8,2,4,7,5,8,5,1,4,7,2,3,4,8,5,7,1,1,3,4,7,2,5,8,6",1:M5 M16 M26 M37 M41 M49 M53 M65 M68 M83 M89 M98 M100 M108 M117 M118 | 2:M11 M12 M19 M27 M33 M44 M51 M64 M67 M76 M81 M99 M102 M111 M122 | 3:M9 M17 M22 M28 M34 M45 M46 M55 M66 M75 M78 M84 M91 M96 M112 M119 | 4:M2 M10 M29 M38 M40 M56 M59 M62 M71 M79 M94 M103 M109 M113 M120 | 5:M3 M8 M14 M23 M25 M39 M52 M61 M74 M82 M90 M95 M105 M107 M115 M123 | 6:M1 M7 M13 M21 M31 M35 M42 M50 M57 M63 M69 M77 M86 M92 M125 | 7:M15 M24 M30 M36 M47 M54 M60 M70 M72 M80 M88 M97 M104 M110 M116 M121 | 8:M4 M6 M18 M20 M32 M43 M48 M58 M73 M85 M87 M93 M101 M106 M114 M124,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,38373,,38373
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.097653,22534,49388,0,0,49388,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",30,4,4,4,0,0,0,0,6,6,"0,2,0,0,0,0,3,2,0,0,0,1,2,0,0,2,0,0,1,3,1,0,3,1,0,0,0,0,4,0,0,3,0,1,0,0,0,0,1,0,0,0","32,32,30,32,32,30,32,30","1,4,7,3,5,8,1,6,3,3,8,2,7,1,4,8,3,6,5,2,7,8,4,1,5,2,8,3,4,7,6,1,8,4,6,2,7,5,6,5,1,2,4,8,3,5,6,8,7,4,8,5,2,7,6,4,3,5,4,1,5,4,6,2,7,8,1,2,3,7,2,7,1,6,4,5,6,1,2,6,8,5,1,3,4,7,2,3,7,5,8,6,4,3,5,1,7,8,2,7,4,2,3,1,5,5,6,1,3,7,2,4,1,2,3,6,8,5,4,3,7,1,2,8,6",1:M1 M7 M14 M24 M32 M41 M60 M67 M73 M78 M83 M96 M104 M108 M113 M122 | 2:M12 M20 M26 M36 M42 M53 M64 M68 M71 M79 M87 M99 M102 M111 M114 M123 | 3:M4 M9 M10 M17 M28 M45 M57 M69 M84 M88 M94 M103 M109 M115 M120 | 4:M2 M15 M23 M29 M34 M43 M50 M56 M59 M62 M75 M85 M93 M101 M112 M119 | 5:M5 M19 M25 M38 M40 M46 M52 M58 M61 M76 M82 M90 M95 M105 M106 M118 | 6:M8 M18 M31 M35 M39 M47 M55 M63 M74 M77 M80 M92 M107 M116 M125 | 7:M3 M13 M21 M30 M37 M49 M54 M65 M70 M72 M86 M89 M97 M100 M110 M121 | 8:M6 M11 M16 M22 M27 M33 M44 M48 M51 M66 M81 M91 M98 M117 M124,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,49388,,49388
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.097106,23752,51421,0,0,51421,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",22,4,4,4,0,0,0,0,6,6,"0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,3,1,1,1,2,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0","32,32,30,32,32,30,30,32","3,4,1,5,8,8,6,1,2,2,3,2,6,7,4,1,3,8,5,3,7,8,2,1,5,2,8,3,4,7,6,1,8,3,6,5,4,2,4,5,1,6,2,8,3,4,6,8,7,3,3,5,8,7,1,4,2,6,4,7,5,2,6,1,8,7,2,1,6,3,7,4,5,8,6,1,6,5,7,4,2,5,8,3,1,6,1,4,8,5,7,6,8,1,5,4,7,3,2,1,7,2,4,5,3,5,6,4,1,7,2,8,4,3,7,5,2,5,3,2,7,8,1,4,6",1:M3 M8 M16 M24 M32 M41 M55 M64 M68 M76 M85 M87 M94 M100 M109 M123 | 2:M9 M10 M12 M23 M26 M38 M43 M57 M62 M67 M81 M99 M102 M111 M117 M120 | 3:M1 M11 M17 M20 M28 M34 M45 M50 M51 M70 M84 M98 M105 M114 M119 | 4:M2 M15 M29 M37 M39 M46 M56 M59 M72 M80 M88 M96 M103 M108 M113 M124 | 5:M4 M19 M25 M36 M40 M52 M61 M73 M78 M82 M90 M95 M104 M106 M116 M118 | 6:M7 M13 M31 M35 M42 M47 M58 M63 M69 M75 M77 M86 M92 M107 M125 | 7:M14 M21 M30 M49 M54 M60 M66 M71 M79 M91 M97 M101 M110 M115 M121 | 8:M5 M6 M18 M22 M27 M33 M44 M48 M53 M65 M74 M83 M89 M93 M112 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,51421,,51421
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.062883,14237,33023,0,0,33023,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",32,4,4,4,0,0,0,0,6,6,"0,1,0,0,0,0,2,2,0,0,0,2,1,0,0,2,1,0,0,1,2,0,4,1,0,0,0,0,4,0,4,3,0,1,0,0,0,0,1,0,0,0","30,32,32,32,32,32,28,32","6,4,8,5,3,8,3,4,2,8,1,2,7,5,4,1,3,8,5,4,2,3,5,3,5,6,2,1,4,7,8,3,1,8,6,5,2,3,2,6,1,4,5,8,3,3,1,8,7,2,1,5,2,7,6,4,3,8,1,3,5,7,6,4,8,7,6,2,1,3,2,8,6,7,4,5,6,1,7,4,6,5,2,3,8,1,6,8,4,5,7,3,6,4,5,8,7,1,2,4,7,6,2,5,1,5,6,1,4,7,2,2,3,8,4,7,6,5,1,8,7,3,4,2,6",1:M11 M16 M28 M33 M41 M47 M51 M59 M69 M78 M86 M98 M105 M108 M119 | 2:M9 M12 M21 M27 M37 M39 M50 M53 M68 M71 M83 M99 M103 M111 M112 M124 | 3:M5 M7 M17 M22 M24 M32 M38 M45 M46 M57 M60 M70 M84 M92 M113 M122 | 4:M2 M8 M15 M20 M29 M42 M56 M64 M75 M80 M89 M94 M100 M109 M115 M123 | 5:M4 M14 M19 M23 M25 M36 M43 M52 M61 M76 M82 M90 M95 M104 M106 M118 | 6:M1 M26 M35 M40 M55 M63 M67 M73 M77 M81 M87 M93 M102 M107 M117 M125 | 7:M13 M30 M49 M54 M62 M66 M74 M79 M91 M97 M101 M110 M116 M121 | 8:M3 M6 M10 M18 M31 M34 M44 M48 M58 M65 M72 M85 M88 M96 M114 M120,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,33023,,33023
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.069182,13838,36340,0,0,36340,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",30,4,4,4,0,0,0,0,6,6,"0,2,0,0,0,0,3,2,0,0,0,1,2,0,0,2,0,0,1,3,1,0,3,1,0,0,0,0,4,0,0,3,0,1,0,0,0,0,1,0,0,0","32,32,30,32,32,30,32,30","1,4,7,3,5,8,1,6,3,3,8,2,7,1,4,8,3,6,5,2,7,8,4,1,5,2,8,3,4,7,6,1,8,4,6,2,7,5,6,5,1,2,4,8,3,5,6,8,7,4,8,5,2,7,6,4,3,5,4,1,5,4,6,2,7,8,1,2,3,7,2,7,1,6,4,5,6,1,2,6,8,5,1,3,4,7,2,3,7,5,8,6,4,3,5,1,7,8,2,7,4,2,3,1,5,5,6,1,3,7,2,4,1,2,3,6,8,5,4,3,7,1,2,8,6",1:M1 M7 M14 M24 M32 M41 M60 M67 M73 M78 M83 M96 M104 M108 M113 M122 | 2:M12 M20 M26 M36 M42 M53 M64 M68 M71 M79 M87 M99 M102 M111 M114 M123 | 3:M4 M9 M10 M17 M28 M45 M57 M69 M84 M88 M94 M103 M109 M115 M120 | 4:M2 M15 M23 M29 M34 M43 M50 M56 M59 M62 M75 M85 M93 M101 M112 M119 | 5:M5 M19 M25 M38 M40 M46 M52 M58 M61 M76 M82 M90 M95 M105 M106 M118 | 6:M8 M18 M31 M35 M39 M47 M55 M63 M74 M77 M80 M92 M107 M116 M125 | 7:M3 M13 M21 M30 M37 M49 M54 M65 M70 M72 M86 M89 M97 M100 M110 M121 | 8:M6 M11 M16 M22 M27 M33 M44 M48 M51 M66 M81 M91 M98 M117 M124,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | exact unary internal-idle counts and range objective over P*",,,result,36340,,36340
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.073221,15056,38373,0,0,38373,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",35,4,4,4,0,0,0,0,6,6,"0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,4,0,0,1,4,2,0,3,0,0,0,0,0,4,0,3,3,0,2,0,0,0,0,2,0,0,0","32,30,32,30,32,30,32,32","6,4,5,8,1,8,6,5,3,4,2,2,6,5,7,1,3,8,2,8,6,3,5,7,5,1,2,3,4,7,6,8,2,3,6,7,1,4,5,4,1,6,8,2,3,3,7,8,1,6,2,5,1,7,3,4,6,8,4,7,5,4,6,2,1,3,2,1,6,7,4,7,8,5,3,2,6,3,4,7,2,5,1,3,8,6,8,7,1,5,3,6,8,4,5,3,7,1,2,1,8,2,4,7,5,8,5,1,4,7,2,3,4,8,5,7,1,1,3,4,7,2,5,8,6",1:M5 M16 M26 M37 M41 M49 M53 M65 M68 M83 M89 M98 M100 M108 M117 M118 | 2:M11 M12 M19 M27 M33 M44 M51 M64 M67 M76 M81 M99 M102 M111 M122 | 3:M9 M17 M22 M28 M34 M45 M46 M55 M66 M75 M78 M84 M91 M96 M112 M119 | 4:M2 M10 M29 M38 M40 M56 M59 M62 M71 M79 M94 M103 M109 M113 M120 | 5:M3 M8 M14 M23 M25 M39 M52 M61 M74 M82 M90 M95 M105 M107 M115 M123 | 6:M1 M7 M13 M21 M31 M35 M42 M50 M57 M63 M69 M77 M86 M92 M125 | 7:M15 M24 M30 M36 M47 M54 M60 M70 M72 M80 M88 M97 M104 M110 M116 M121 | 8:M4 M6 M18 M20 M32 M43 M48 M58 M73 M85 M87 M93 M101 M106 M114 M124,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,38373,,38373
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.095121,22534,49388,0,0,49388,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",30,4,4,4,0,0,0,0,6,6,"0,2,0,0,0,0,3,2,0,0,0,1,2,0,0,2,0,0,1,3,1,0,3,1,0,0,0,0,4,0,0,3,0,1,0,0,0,0,1,0,0,0","32,32,30,32,32,30,32,30","1,4,7,3,5,8,1,6,3,3,8,2,7,1,4,8,3,6,5,2,7,8,4,1,5,2,8,3,4,7,6,1,8,4,6,2,7,5,6,5,1,2,4,8,3,5,6,8,7,4,8,5,2,7,6,4,3,5,4,1,5,4,6,2,7,8,1,2,3,7,2,7,1,6,4,5,6,1,2,6,8,5,1,3,4,7,2,3,7,5,8,6,4,3,5,1,7,8,2,7,4,2,3,1,5,5,6,1,3,7,2,4,1,2,3,6,8,5,4,3,7,1,2,8,6",1:M1 M7 M14 M24 M32 M41 M60 M67 M73 M78 M83 M96 M104 M108 M113 M122 | 2:M12 M20 M26 M36 M42 M53 M64 M68 M71 M79 M87 M99 M102 M111 M114 M123 | 3:M4 M9 M10 M17 M28 M45 M57 M69 M84 M88 M94 M103 M109 M115 M120 | 4:M2 M15 M23 M29 M34 M43 M50 M56 M59 M62 M75 M85 M93 M101 M112 M119 | 5:M5 M19 M25 M38 M40 M46 M52 M58 M61 M76 M82 M90 M95 M105 M106 M118 | 6:M8 M18 M31 M35 M39 M47 M55 M63 M74 M77 M80 M92 M107 M116 M125 | 7:M3 M13 M21 M30 M37 M49 M54 M65 M70 M72 M86 M89 M97 M100 M110 M121 | 8:M6 M11 M16 M22 M27 M33 M44 M48 M51 M66 M81 M91 M98 M117 M124,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,49388,,49388
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.097366,23752,51421,0,0,51421,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",22,4,4,4,0,0,0,0,6,6,"0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,3,1,1,1,2,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0","32,32,30,32,32,30,30,32","3,4,1,5,8,8,6,1,2,2,3,2,6,7,4,1,3,8,5,3,7,8,2,1,5,2,8,3,4,7,6,1,8,3,6,5,4,2,4,5,1,6,2,8,3,4,6,8,7,3,3,5,8,7,1,4,2,6,4,7,5,2,6,1,8,7,2,1,6,3,7,4,5,8,6,1,6,5,7,4,2,5,8,3,1,6,1,4,8,5,7,6,8,1,5,4,7,3,2,1,7,2,4,5,3,5,6,4,1,7,2,8,4,3,7,5,2,5,3,2,7,8,1,4,6",1:M3 M8 M16 M24 M32 M41 M55 M64 M68 M76 M85 M87 M94 M100 M109 M123 | 2:M9 M10 M12 M23 M26 M38 M43 M57 M62 M67 M81 M99 M102 M111 M117 M120 | 3:M1 M11 M17 M20 M28 M34 M45 M50 M51 M70 M84 M98 M105 M114 M119 | 4:M2 M15 M29 M37 M39 M46 M56 M59 M72 M80 M88 M96 M103 M108 M113 M124 | 5:M4 M19 M25 M36 M40 M52 M61 M73 M78 M82 M90 M95 M104 M106 M116 M118 | 6:M7 M13 M31 M35 M42 M47 M58 M63 M69 M75 M77 M86 M92 M107 M125 | 7:M14 M21 M30 M49 M54 M60 M66 M71 M79 M91 M97 M101 M110 M115 M121 | 8:M5 M6 M18 M22 M27 M33 M44 M48 M53 M65 M74 M83 M89 M93 M112 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,51421,,51421
tic-12crafc.fixed020-Forb,SAT,OPTIMAL,0.064377,14237,33023,0,0,33023,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,4,4,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",32,4,4,4,0,0,0,0,6,6,"0,1,0,0,0,0,2,2,0,0,0,2,1,0,0,2,1,0,0,1,2,0,4,1,0,0,0,0,4,0,4,3,0,1,0,0,0,0,1,0,0,0","30,32,32,32,32,32,28,32","6,4,8,5,3,8,3,4,2,8,1,2,7,5,4,1,3,8,5,4,2,3,5,3,5,6,2,1,4,7,8,3,1,8,6,5,2,3,2,6,1,4,5,8,3,3,1,8,7,2,1,5,2,7,6,4,3,8,1,3,5,7,6,4,8,7,6,2,1,3,2,8,6,7,4,5,6,1,7,4,6,5,2,3,8,1,6,8,4,5,7,3,6,4,5,8,7,1,2,4,7,6,2,5,1,5,6,1,4,7,2,2,3,8,4,7,6,5,1,8,7,3,4,2,6",1:M11 M16 M28 M33 M41 M47 M51 M59 M69 M78 M86 M98 M105 M108 M119 | 2:M9 M12 M21 M27 M37 M39 M50 M53 M68 M71 M83 M99 M103 M111 M112 M124 | 3:M5 M7 M17 M22 M24 M32 M38 M45 M46 M57 M60 M70 M84 M92 M113 M122 | 4:M2 M8 M15 M20 M29 M42 M56 M64 M75 M80 M89 M94 M100 M109 M115 M123 | 5:M4 M14 M19 M23 M25 M36 M43 M52 M61 M76 M82 M90 M95 M104 M106 M118 | 6:M1 M26 M35 M40 M55 M63 M67 M73 M77 M81 M87 M93 M102 M107 M117 M125 | 7:M13 M30 M49 M54 M62 M66 M74 M79 M91 M97 M101 M110 M116 M121 | 8:M3 M6 M10 M18 M31 M34 M44 M48 M58 M65 M72 M85 M88 M96 M114 M120,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,33023,,33023
