instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafa.forb0007,no,maxsat,direct,lexicographic,-,-,-,-,3.0 0
ticf-13crafa.forb0007,yes,maxsat,direct,lexicographic,-,-,-,-,2.9 0
