instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-14crafa.forb0003,no,incremental,direct,lexicographic,TO -,17.7 0,TO -,19.4 0,13.4 0
ticf-14crafa.forb0003,yes,incremental,direct,lexicographic,TO -,19.1 0,TO -,19.7 0,13.9 0
