instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafc.original,no,multiple,direct,lexicographic,-,-,-,-,19.6 0
ticf-13crafc.original,yes,multiple,direct,lexicographic,-,-,-,-,19.9 0
