instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-14crafa.prec15,no,multiple,direct,lexicographic,-,-,-,-,73.9 0
ticf-14crafa.prec15,yes,multiple,direct,lexicographic,-,-,-,-,35.0 0
