instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
tic-13crafc.prec25,no,multiple,direct,lexicographic,-,-,-,-,125.9 1
tic-13crafc.prec25,yes,multiple,direct,lexicographic,-,-,-,-,152.3 1
