instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
forumt-14crafd.fixed020-Forb,no,multiple,direct,lexicographic,-,-,-,-,5.5 4
forumt-14crafd.fixed020-Forb,yes,multiple,direct,lexicographic,-,-,-,-,5.4 4
