instance,staircase,solver,precedence_edges,objective,basic,imp1,imp2,imp12,imp12+
ticf-13crafa.fixed040-Forb,no,multiple,direct,lexicographic,-,-,-,-,542.3 12
ticf-13crafa.fixed040-Forb,yes,multiple,direct,lexicographic,-,-,-,-,525.6 12
